location,url_tail,walk_score,transit_score,bike_score
"11238, Clinton Hill, NY",11238-clinton-hill-ny,96,100,90
"10029, East Harlem, NY",10029-east-harlem-ny,99,100,88
"10016, Murray Hill, NY",10016-murray-hill-ny,99,100,85
"10016, Murray Hill, NY",10016-murray-hill-ny,99,100,85
"11216, Bedford-Stuyvesant, NY",11216-bedford-stuyvesant-ny,99,100,86
"10019, Hell's Kitchen, NY",10019-hell-s-kitchen-ny,100,100,92
"10025, Upper West Side, NY",10025-upper-west-side-ny,100,100,88
"10009, East Village, NY",10009-east-village-ny,98,100,98
"10002, Chinatown, NY",10002-chinatown-ny,100,100,94
"10036, Hell's Kitchen, NY",10036-hell-s-kitchen-ny,99,100,92
"10036, Hell's Kitchen, NY",10036-hell-s-kitchen-ny,99,100,92
"11215, South Slope, NY",11215-south-slope-ny,97,100,86
"10014, West Village, NY",10014-west-village-ny,98,100,94
"10014, West Village, NY",10014-west-village-ny,98,100,94
"11211, Williamsburg, NY",11211-williamsburg-ny,99,100,91
"11205, Fort Greene, NY",11205-fort-greene-ny,95,91,95
"10011, Chelsea, NY",10011-chelsea-ny,85,100,84
"10011, Chelsea, NY",10011-chelsea-ny,85,100,84
"11216, Crown Heights, NY",11216-crown-heights-ny,99,100,86
"11217, Park Slope, NY",11217-park-slope-ny,99,100,93
"11218, Windsor Terrace, NY",11218-windsor-terrace-ny,85,95,75
"10003, East Village, NY",10003-east-village-ny,100,100,93
"10031, Harlem, NY",10031-harlem-ny,99,100,80
"10027, Harlem, NY",10027-harlem-ny,91,100,60
"11222, Greenpoint, NY",11222-greenpoint-ny,99,76,96
"11238, Bedford-Stuyvesant, NY",11238-bedford-stuyvesant-ny,96,100,90
"11237, Bushwick, NY",11237-bushwick-ny,97,97,91
"10002, Lower East Side, NY",10002-lower-east-side-ny,97,100,94
"10024, Upper West Side, NY",10024-upper-west-side-ny,100,100,86
"10024, Upper West Side, NY",10024-upper-west-side-ny,100,100,86
"11225, Prospect-Lefferts Gardens, NY",11225-prospect-lefferts-gardens-ny,92,100,84
"11101, Long Island City, NY",11101-long-island-city-ny,93,100,82
"11221, Bedford-Stuyvesant, NY",11221-bedford-stuyvesant-ny,96,92,71
"11206, Williamsburg, NY",11206-williamsburg-ny,98,100,86
"10010, Kips Bay, NY",10010-kips-bay-ny,98,100,89
"10016, Kips Bay, NY",10016-kips-bay-ny,100,100,80
"10016, Kips Bay, NY",10016-kips-bay-ny,100,100,80
"10018, Hell's Kitchen, NY",10018-hell-s-kitchen-ny,99,100,90
"10002, SoHo, NY",10002-soho-ny,99,100,96
"11249, Williamsburg, NY",11249-williamsburg-ny,98,98,95
"11249, Williamsburg, NY",11249-williamsburg-ny,98,98,95
"10001, Chelsea, NY",10001-chelsea-ny,100,100,96
"10162, Upper East Side, NY",10162-upper-east-side-ny,97,100,84
"11231, Red Hook, NY",11231-red-hook-ny,93,67,98
"11238, Prospect Heights, NY",11238-prospect-heights-ny,96,100,90
"11205, Clinton Hill, NY",11205-clinton-hill-ny,95,91,95
"11215, Park Slope, NY",11215-park-slope-ny,97,100,86
"10035, East Harlem, NY",10035-east-harlem-ny,11,83,56
"10032, Washington Heights, NY",10032-washington-heights-ny,90,100,51
"11377, Woodside, NY",11377-woodside-ny,95,100,73
"10014, Chelsea, NY",10014-chelsea-ny,98,100,94
"11226, Flatbush, NY",11226-flatbush-ny,96,100,73
"11201, Brooklyn Heights, NY",11201-brooklyn-heights-ny,97,100,89
"11206, Bushwick, NY",11206-bushwick-ny,98,100,86
"11217, Prospect Heights, NY",11217-prospect-heights-ny,99,100,93
"11233, Bedford-Stuyvesant, NY",11233-bedford-stuyvesant-ny,91,100,65
"11231, Carroll Gardens, NY",11231-carroll-gardens-ny,96,93,92
"11217, Gowanus, NY",11217-gowanus-ny,99,100,93
"10023, Upper West Side, NY",10023-upper-west-side-ny,100,100,87
"10023, Upper West Side, NY",10023-upper-west-side-ny,100,100,87
"10128, Upper East Side, NY",10128-upper-east-side-ny,100,100,71
"11234, Flatlands, NY",11234-flatlands-ny,90,79,57
"11201, Cobble Hill, NY",11201-cobble-hill-ny,98,100,97
"11367, Flushing, NY",11367-flushing-ny,90,68,71
"10028, Upper East Side, NY",10028-upper-east-side-ny,100,100,85
"10028, Upper East Side, NY",10028-upper-east-side-ny,100,100,85
"11217, Boerum Hill, NY",11217-boerum-hill-ny,99,100,93
"11104, Sunnyside, NY",11104-sunnyside-ny,98,100,85
"11201, DUMBO, NY",11201-dumbo-ny,98,100,90
"10065, Upper East Side, NY",10065-upper-east-side-ny,100,100,83
"11215, Gowanus, NY",11215-gowanus-ny,97,100,86
"10301, St. George, NY",10301-st--george-ny,87,78,51
"10452, Highbridge, NY",10452-highbridge-ny,98,100,78
"10006, Financial District, NY",10006-financial-district-ny,99,100,83
"10003, NoHo, NY",10003-noho-ny,100,100,93
